l_conv,l_pool,l_batch_conv,l_batch_linear,l_dropout,l_linear,n_conv,n_linear,n_batch_conv,n_batch_linear,p_dropout,time,p_all
3,3,0,0,0,1,42336,4097000,0,0,0.2,6.7518,4139336
3,3,0,0,0,2,148960,2074600,0,0,0.3,3.2267,2223560
4,3,0,0,0,1,412320,1025000,0,0,0.3,2.3776,1437320
4,3,0,0,0,2,136096,322792,0,0,0.2,0.9451,458888
25,2,0,0,0,1,10149792,257000,0,0,0.3,22.4521,10406792
2,2,2,1,1,2,102816,20878312,544,8192,0.2,2.4249,20989864
2,2,0,0,1,2,103072,20878312,0,0,0.2,2.0328,20981384
4,2,4,1,1,2,758944,20878312,1568,8192,0.2,4.3216,21647016
4,4,4,0,0,1,607840,257000,1184,0,0.2,6.3718,866024
2,2,0,0,1,2,102688,7615720,0,0,0.3,1.3432,7718408
2,2,0,0,0,2,37280,7615720,0,0,0.3,1.1498,7653000
4,4,0,0,0,1,101152,2305000,0,0,0.3,1.5342,2406152
4,3,4,1,1,2,150304,7615720,1312,4608,0.3,6.3474,7771944
7,2,7,1,1,2,4527648,322792,3104,512,0.3,13.8033,4854056
8,2,8,1,1,2,5216416,7615720,3616,4608,0.3,11.6794,12840360
7,2,7,1,0,2,2987680,2074600,3104,2048,0.2,6.9118,5067432
9,3,0,0,0,1,1092704,257000,0,0,0.2,13.5655,1349704
2,2,0,0,0,1,103072,4097000,0,0,0.2,1.406,4200072
4,2,0,0,0,1,1001184,2305000,0,0,0.2,4.2106,3306184
6,3,0,0,0,1,2116896,1025000,0,0,0.2,10.1431,3141896
3,3,0,0,0,1,313888,1025000,0,0,0.2,1.8465,1338888
4,4,4,0,0,1,674848,257000,1312,0,0.3,9.8898,933160
4,2,0,0,0,1,363296,2305000,0,0,0.3,1.6843,2668296
3,3,3,1,0,2,594848,7615720,1056,4608,0.3,5.3769,8216232
6,3,0,0,0,2,1157472,7615720,0,0,0.2,9.3935,8773192
5,4,5,0,0,1,1477920,2305000,1824,0,0.2,6.7643,3784744
3,3,0,0,0,2,70560,2074600,0,0,0.3,1.1452,2145160
12,3,0,0,0,2,7722016,20878312,0,0,0.3,30.1307,28600328
8,2,8,1,0,2,4102304,20878312,3616,8192,0.2,8.3469,24992424
4,3,4,0,0,1,607840,4097000,1184,0,0.3,6.6686,4706024
6,2,6,1,1,2,3116320,7615720,2336,4608,0.2,21.6892,10738984
4,3,0,0,0,1,412320,257000,0,0,0.3,2.2187,669320
5,4,0,0,0,1,201760,2305000,0,0,0.3,1.3005,2506760
10,3,0,0,0,1,2202016,1025000,0,0,0.2,4.0741,3227016
8,2,8,1,1,2,4083744,322792,3360,512,0.2,14.0068,4410408
3,3,0,0,0,2,693152,2074600,0,0,0.3,2.1243,2767752
3,3,0,0,0,1,1676192,1025000,0,0,0.3,3.4304,2701192
4,3,4,1,1,2,738912,2074600,1184,2048,0.2,5.9557,2816744
9,2,9,1,0,2,6855072,322792,4128,512,0.2,13.826,7182504
3,3,3,0,0,1,594848,257000,1056,0,0.3,2.3739,852904
7,2,7,0,0,1,3198752,257000,2848,0,0.2,34.2941,3458600
10,2,10,1,1,2,5348000,322792,4640,512,0.2,14.164,5675944
4,4,0,0,0,1,83552,4097000,0,0,0.2,4.0417,4180552
5,2,5,1,1,2,173920,7615720,1696,4608,0.3,8.871,7795944
4,3,0,0,0,2,363168,7615720,0,0,0.2,2.5288,7978888
6,2,6,0,0,1,824992,1025000,2592,0,0.2,3.2989,1852584
7,3,7,0,0,1,921248,1025000,2592,0,0.3,18.8496,1948840
3,3,3,0,0,1,168864,2305000,1056,0,0.2,3.3295,2474920
8,4,0,0,0,2,1919584,20878312,0,0,0.2,6.6057,22797896
3,3,0,0,0,1,1643424,2305000,0,0,0.2,6.0812,3948424
5,2,0,0,0,1,1872928,1025000,0,0,0.3,7.2043,2897928
7,3,0,0,0,1,2623840,257000,0,0,0.2,13.1353,2880840
6,4,0,0,0,1,791968,1025000,0,0,0.3,4.9724,1816968
3,3,3,0,0,1,1643040,2305000,1056,0,0.2,7.6125,3949096
7,3,7,1,1,2,4560800,322792,3104,512,0.3,12.1603,4887208
4,4,0,0,0,2,828896,2074600,0,0,0.2,7.8125,2903496
3,3,3,1,1,2,435680,2074600,672,2048,0.2,5.5536,2513000
4,4,4,1,1,2,887840,322792,1312,512,0.2,6.2788,1212456
11,3,11,1,0,2,6017696,7615720,4640,4608,0.2,32.2148,13642664
8,3,8,0,0,1,879584,257000,3232,0,0.2,7.711,1139816
2,2,2,1,1,2,103072,7615720,544,4608,0.2,1.6819,7723944
3,2,0,0,0,2,627616,7615720,0,0,0.2,1.7199,8243336
3,3,3,0,0,1,822048,257000,800,0,0.2,3.001,1079848
7,4,7,1,1,2,1134112,322792,2848,512,0.2,3.473,1460264
12,4,0,0,0,2,5413792,2074600,0,0,0.2,8.0691,7488392
6,2,0,0,0,1,3970336,1025000,0,0,0.2,10.8815,4995336
3,3,0,0,0,1,103328,257000,0,0,0.3,1.2608,360328
8,3,8,1,1,2,3369568,2074600,3232,2048,0.2,10.4744,5449448
3,3,0,0,0,1,692896,257000,0,0,0.3,1.6924,949896
15,2,15,0,0,1,8967712,1025000,6944,0,0.2,26.7082,9999656
3,3,3,0,0,1,168864,1025000,1056,0,0.3,1.4903,1194920
10,3,0,0,0,1,3379360,2305000,0,0,0.3,9.0942,5684360
4,3,4,0,0,1,758560,257000,1568,0,0.2,2.0528,1017128
8,2,0,0,0,1,2075360,257000,0,0,0.3,6.3957,2332360
5,2,0,0,0,1,1576096,257000,0,0,0.2,14.1852,1833096
5,4,5,0,0,1,288736,1025000,1696,0,0.2,6.6875,1315432
6,2,6,0,0,1,2463136,2305000,2592,0,0.3,16.3916,4770728
7,2,7,0,0,1,1231200,1025000,2464,0,0.3,14.8991,2258664
3,2,0,0,0,2,1676192,7615720,0,0,0.3,3.4488,9291912
7,2,7,1,1,2,1616224,2074600,2464,2048,0.3,11.3785,3695336
3,3,0,0,0,1,52000,1025000,0,0,0.3,5.0612,1077000
6,4,6,0,0,1,2607072,2305000,1952,0,0.2,22.2976,4914024
3,2,0,0,0,1,70176,4097000,0,0,0.3,1.3271,4167176
4,2,4,0,0,1,1428128,257000,1312,0,0.3,3.5023,1686440
9,2,0,0,0,2,4500704,2074600,0,0,0.2,23.3115,6575304
3,3,0,0,0,2,84512,20878312,0,0,0.3,8.2825,20962824
5,2,5,1,0,2,2271072,322792,1696,512,0.3,10.1197,2596072
4,3,4,0,0,1,887584,1025000,1312,0,0.2,5.6337,1913896
8,2,0,0,0,1,2337504,1025000,0,0,0.2,10.1337,3362504
4,3,4,0,0,1,135968,257000,1568,0,0.2,1.2041,394536
11,3,0,0,0,1,6557024,1025000,0,0,0.2,26.3845,7582024
4,4,4,0,0,1,1184928,257000,1568,0,0.2,6.9146,1443496
5,3,5,0,0,1,173920,4097000,1696,0,0.2,5.6573,4272616
9,3,0,0,0,1,741664,1025000,0,0,0.2,4.7471,1766664
6,4,6,1,0,2,633056,2074600,2208,2048,0.2,8.0982,2711912
4,4,0,0,0,2,936992,322792,0,0,0.2,14.2052,1259784
3,3,3,0,0,1,838048,1025000,800,0,0.3,2.9989,1863848
2,2,0,0,0,1,103072,4097000,0,0,0.2,1.2431,4200072
7,3,7,0,0,1,4017568,1025000,2848,0,0.2,13.1705,5045416
2,2,0,0,0,1,4384,4097000,0,0,0.3,1.0195,4101384
8,3,0,0,0,1,1546400,2305000,0,0,0.2,3.4132,3851400
6,4,0,0,0,1,773408,2305000,0,0,0.2,6.9695,3078408
4,2,4,1,0,2,1807264,2074600,1568,2048,0.2,4.9956,3885480
4,3,4,0,0,1,1217696,257000,1568,0,0.3,7.8595,1476264
4,3,4,0,0,1,101152,2305000,1312,0,0.3,2.4711,2407464
